organism_tidy_name,join,ref,seq,organism_name,ncbi_taxonomy,gtdb_taxonomy,gtdb_representative_of_species,gtdb_type_material,genome_representation,check_m_completeness,check_m_contamination,gc_percentage,genome_size,contig_count,country,date,isolation_source,spanned_gaps,unspanned_gaps,assembly_level,protein_count,gen_bank_assembly_id_accession_version,accession_number,regional_loaction,geographic_feature,environment_detail,tempurature,lat_long,temp_estimate,temp_cat,gyrA,nusA,infC,infA,otsA,dnaK,recA,dnaJ,aceF,deaD,infB,tig,rnr,dnaA,hupB,rbfA,yfiA,pnp,csp,aceE,desA,PsaB,cya_PsbA,PsaA,cya_PsaC,PsbB,PsbC,PsbO,bac_PsbA,D2_PsbD,PsaD,PsaE,bac_PsaC
Kamptonema_formosum_PCC_6407,_000332155.1_,GCF,332155,Kamptonema formosum PCC 6407,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Microcoleaceae;g__Kamptonema;s__Kamptonema formosum,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__Kamptonema;s__Kamptonema formosum,TRUE,not type material,full,99.56,0.44,43.4332808,6894060,118,USA: California,1/22/13,fresh water,106,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,5,2,6,1,9,5,1,3,2,1,1,1,6,1,2,5,2,5,2,1,4,4,1,5,5,1,1,5
Leptolyngbya_boryana_dg5,_002142495.1_,GCF,2142495,Leptolyngbya boryana dg5,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya boryana,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya boryana,FALSE,not type material,NA,99.41,1.18,47.0073282,6803469,NA,NA,NA,NA,NA,NA,Complete Genome,6376,GCA_002142495.1,ASM214249v1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,5,2,7,2,12,5,1,2,5,3,1,0,4,1,1,9,3,6,3,1,3,3,1,6,6,1,1,6
Leptolyngbya_boryana_IAM_M-101,_002142475.1_,GCF,2142475,Leptolyngbya boryana IAM M-101,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya boryana,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya boryana,FALSE,not type material,NA,99.41,1.18,47.0073204,6803468,NA,NA,NA,NA,NA,NA,Complete Genome,6376,GCA_002142475.1,ASM214247v1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,5,2,7,2,12,5,1,2,5,3,1,0,4,1,1,9,3,6,3,1,3,3,1,6,6,1,1,6
Leptolyngbya_boryana_NIES-2135,_002368255.1_,GCF,2368255,Leptolyngbya boryana NIES-2135,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya boryana,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya boryana,FALSE,not type material,NA,99.41,1.18,47.0269855,7233668,NA,NA,NA,NA,NA,NA,Complete Genome,6753,GCA_002368255.1,ASM236825v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptolyngbya_boryana_PCC_6306,_000353285.1_,GCF,353285,Leptolyngbya boryana PCC 6306,d__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya boryana,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya boryana,TRUE,not type material,full,99.41,1.18,47.0163698,7262454,19,USA,4/6/13,unialgal culture in lake water,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptolyngbya_sp_BL0902,_016403105.1_,GCF,16403105,Leptolyngbya sp. BL0902,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Leptolyngbyaceae;g__Leptolyngbya;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Nodosilinea;s__Nodosilinea sp016403105,TRUE,not type material,NA,98.64,1.63,57.6522613,4710209,NA,NA,NA,NA,NA,NA,Complete Genome,4194,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,5,2,7,1,15,5,1,2,2,1,1,0,4,0,1,5,4,7,4,1,2,2,1,7,7,1,1,6
Leptolyngbya_sp_NIES-2104,_001485215.1_,GCF,1485215,Leptolyngbya sp. NIES-2104,d__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptolyngbya;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya sp001485215,TRUE,not type material,full,99.29,0.71,47.4276291,6386310,5,Japan:Hyogo; Himeji,10/31/15,biofilm material,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,6,1,7,1,13,5,1,2,1,2,1,0,4,1,1,8,3,5,3,1,2,2,1,5,5,1,1,4
Leptolyngbya_sp_NIES-3755,_001548435.1_,GCF,1548435,Leptolyngbya sp. NIES-3755,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Leptolyngbyaceae;g__Leptolyngbya;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya sp001548435,TRUE,not type material,NA,99.41,1.02,46.700542,6761657,NA,NA,NA,NA,NA,NA,Complete Genome,6645,GCA_001548435.1,ASM154843v1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,6,1,8,1,14,7,1,2,2,2,1,0,4,0,1,8,3,5,3,1,3,3,1,5,5,1,1,5
Leptolyngbya_sp_O-77,_001548395.1_,GCF,1548395,Leptolyngbya sp. O-77,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Leptolyngbyaceae;g__Leptolyngbya;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Elainellales;f__Elainellaceae;g__O-77;s__O-77 sp001548395,TRUE,not type material,NA,98.7,1.53,55.9272998,5480261,NA,NA,NA,NA,NA,NA,Complete Genome,4891,GCA_001548395.1,ASM154839v1,Japan,NA,NA,NA,NA,NA,NA,3,1,1,1,1,7,1,8,1,14,5,1,3,1,1,1,0,4,1,1,5,2,6,2,1,4,3,1,6,6,1,1,4
Leptolyngbya_sp_PCC_7375,_000316115.1_,GCF,316115,Leptolyngbya sp. PCC 7375,d__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptolyngbya;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Leptothoe;s__Leptothoe sp000316115,TRUE,type strain of heterotypic synonym,full,99.73,1.09,47.6220977,9422968,14,USA: Woods Hole region; Massachusetts,12/3/12,plankton,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-15,cold-freezing,2,1,1,2,1,7,1,8,1,16,6,1,2,19,6,1,2,4,0,1,12,2,11,2,1,4,6,1,11,11,1,1,8
Leptolyngbya_sp_PCC_7376,_000316605.1_,GCF,316605,Leptolyngbya sp. PCC 7376,d__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptolyngbya;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Limnothrix;s__Limnothrix sp000316605,TRUE,type strain of heterotypic synonym,full,99.42,0.87,43.8673612,5125950,1,Atlantic Ocean,12/4/12,Crystal Cave (limestone),0,0,Complete Genome,4720,GCA_000316605.1,ASM31660v1,NA,NA,NA,NA,NA,15-30,temperate,2,1,1,1,1,6,1,9,1,9,7,1,3,1,1,1,0,3,1,1,7,2,6,2,1,6,6,1,6,7,1,1,3
Limnospira_fusiformis_SAG_85_79,_012516315.1_,GCA,12516315,Limnospira fusiformis SAG 85.79,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Microcoleaceae;g__Limnospira;s__Limnospira fusiformis,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__Limnospira;s__Limnospira fusiformis,TRUE,type strain of species,NA,99.93,0.82,44.8758923,6423694,NA,NA,NA,NA,NA,NA,Complete Genome,5814,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,9,1,8,1,12,5,1,2,1,3,1,2,6,0,1,3,2,8,2,1,3,3,1,8,8,1,1,6
Limnothrix_sp_CACIAM_69d,_001913845.2_,GCA,1913845,Limnothrix sp. CACIAM 69d,d__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Limnothrix;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__CACIAM-69d;f__CACIAM-69d;g__CACIAM-69d;s__CACIAM-69d sp001913845,TRUE,not type material,full,99.64,0,55.2305923,4572073,100,Brazil: Tucurui,8/22/18,freshwater lake,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,5,1,6,1,11,5,1,2,1,2,1,0,3,0,1,2,2,3,2,1,4,4,1,3,7,1,1,4
Limnothrix_sp_P13C2,_001698445.1_,GCA,1698445,Limnothrix sp. P13C2,d__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Limnothrix;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__CACIAM-69d;f__CACIAM-69d;g__CACIAM-69d;s__CACIAM-69d sp001698445,FALSE,not type material,full,99.37,0,55.2841116,4583806,41,Singapore,8/3/16,co-culture originated from a tropical freshwater lake,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,6,1,6,1,9,6,1,2,1,2,1,0,3,0,1,2,2,5,2,1,4,4,1,5,5,1,1,5
Microcystis_aeruginosa_CHAOHU_1326,_001895325.1_,GCF,1895325,Microcystis aeruginosa CHAOHU 1326,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis panniformis_A,FALSE,not type material,full,99.67,1.39,42.5387403,5271683,617,China: Chaohu Lake,12/9/16,eutrophic water,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,0,5,1,6,1,10,6,1,2,1,1,1,0,3,1,1,5,2,4,2,1,3,3,1,4,6,1,1,5
Microcystis_aeruginosa_FD4,_009792235.1_,GCF,9792235,Microcystis aeruginosa FD4,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis viridis,TRUE,not type material,NA,99.34,0.62,42.5732263,5493112,NA,NA,NA,NA,NA,NA,Complete Genome,5431,GCA_009792235.1,ASM979223v1,"USA: Florida, Caloosahatchee River",NA,freshwater,NA,NA,NA,temperate,2,1,1,1,0,5,1,7,1,11,4,1,2,2,1,1,0,3,1,1,5,2,9,2,1,2,4,1,9,6,1,1,5
Microcystis_aeruginosa_NaRes975,_001885655.1_,GCF,1885655,Microcystis aeruginosa NaRes975,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis panniformis,FALSE,not type material,full,99.89,0.51,42.413366,5117533,413,China: Henan Province; Nanwan Reservoir,11/25/16,lake water,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,9,1,7,1,11,5,1,2,2,1,1,0,3,0,0,6,2,2,2,1,3,3,1,2,6,1,1,5
Microcystis_aeruginosa_NIES-2481,_001704955.2_,GCF,1704955,Microcystis aeruginosa NIES-2481,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa_C,FALSE,not type material,full,99.82,0.15,42.8696252,4440545,2,Japan: Lake Kasumigaura,1/22/18,freshwater,0,0,Complete Genome,4169,GCA_001704955.2,ASM170495v2,Japan,Lake Kasumigaura,freshwater,NA,NA,25-Mar,temperate,2,1,1,1,0,5,1,6,1,15,5,1,2,1,1,1,0,3,0,0,6,2,9,2,1,2,2,1,9,8,1,1,5
Microcystis_aeruginosa_NIES-2549,_000981785.2_,GCF,981785,Microcystis aeruginosa NIES-2549,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa_C,TRUE,not type material,full,99.89,0.07,42.9183949,4301200,2,Japan: Lake Kasumigaura,1/30/18,eutrophic water,0,0,Complete Genome,3992,GCA_000981785.2,ASM98178v2,NA,NA,NA,NA,NA,25-Mar,temperate,2,1,1,1,0,5,1,6,1,13,5,1,2,1,1,1,0,3,0,1,6,2,8,2,1,2,2,1,8,7,1,1,5
Microcystis_aeruginosa_NIES-298,_010196425.1_,GCF,10196425,Microcystis aeruginosa NIES-298,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis panniformis,FALSE,not type material,NA,99.89,0.07,42.5535101,5015081,NA,NA,NA,NA,NA,NA,Complete Genome,4756,GCA_010196425.1,ASM1019642v1,"Lake Kasumigaura, Japan",freshwater,freshwater,NA,NA,25-Mar,temperate,2,1,1,1,0,5,1,7,1,11,5,1,2,1,1,1,0,3,1,0,5,2,6,2,1,3,3,1,6,6,1,1,5
Microcystis_aeruginosa_NIES-44,_000787675.1_,GCF,787675,Microcystis aeruginosa NIES-44,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis wesenbergii,FALSE,not type material,full,99.89,0.07,43.1930227,4565323,79,Japan: Ibaraki; Lake Kasumigaura,11/12/14,Axenic culture,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-Mar,temperate,2,1,1,1,0,6,1,7,1,12,5,1,2,1,1,1,0,3,1,1,4,2,7,2,1,2,2,1,7,7,1,1,5
Microcystis_aeruginosa_NIES-843,_000010625.1_,GCF,10625,Microcystis aeruginosa NIES-843,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,TRUE,not type material,NA,99.89,0.51,42.3306311,5842795,NA,NA,NA,NA,NA,NA,Complete Genome,5605,GCA_000010625.1,ASM1062v1,"Japan from Otsuka, Shigeto",Lake Kasumigaura Ibaraki,"freshwater, lentic",NA,"36.040278, 140.394167",25-Mar,temperate,2,1,1,1,0,5,1,6,1,10,5,1,2,1,1,1,0,3,1,1,5,2,8,2,1,2,2,1,7,7,1,1,5
Microcystis_aeruginosa_NIES-88,_001578075.1_,GCF,1578075,Microcystis aeruginosa NIES-88,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,FALSE,not type material,full,99.45,0.84,42.7294157,5263219,262,Japan: Lake Kawaguchi Yamanashi,3/1/16,freshwater lake,233,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,5,1,6,1,10,5,1,2,1,1,1,0,3,1,1,5,2,6,2,1,2,2,1,5,5,1,1,5
Microcystis_aeruginosa_NIES-98,_001725075.1_,GCF,1725075,Microcystis aeruginosa NIES-98,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis panniformis,FALSE,not type material,full,99.67,0.37,42.4228917,4983728,500,Japan: Lake Kasumigaura,9/13/16,freshwater,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-Mar,temperate,2,1,1,1,0,5,1,8,1,11,5,1,2,1,1,1,0,3,1,0,5,2,9,2,1,3,3,1,9,5,1,1,5
Microcystis_aeruginosa_PCC_7806SL,_002095975.1_,GCF,2095975,Microcystis aeruginosa PCC 7806SL,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis panniformis,FALSE,not type material,NA,99.67,1.45,42.0865991,5139339,NA,NA,1978,NA,NA,NA,Complete Genome,4876,GCA_002095975.1,ASM209597v1,netherlands,freshwater,NA,NA,NA,NA,cold-freezing,2,1,1,1,0,6,1,7,1,11,5,1,2,1,1,1,0,3,1,1,5,2,5,2,1,3,3,1,5,5,1,1,5
Microcystis_aeruginosa_TAIHU98,_000330925.1_,GCF,330925,Microcystis aeruginosa TAIHU98,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis panniformis,FALSE,not type material,full,99.89,0.22,42.4499815,4849611,4,China,1/3/13,freshwater from Taihu Lake,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-Oct,temperate,2,1,1,1,0,5,1,7,1,10,5,1,2,1,1,1,0,4,1,0,5,2,6,2,1,3,3,1,6,5,1,1,5
Microcystis_sp_MC19,_003019735.1_,GCF,3019735,Microcystis sp. MC19,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis sp000297435,FALSE,not type material,NA,99.89,0.58,42.6504454,5020243,NA,NA,NA,NA,NA,NA,Complete Genome,4827,GCA_003019735.1,ASM301973v1,"South Korea: Lake Seo, Suwon, Gyeonggi",freshwater,lake,NA,"37.276667, 126.990833",NA,temperate,2,1,1,1,0,7,1,6,1,10,5,1,2,1,1,1,0,3,0,1,6,2,7,2,1,3,3,1,6,6,1,1,5
Microcystis_viridis_NIES-102,_003945305.1_,GCF,3945305,Microcystis viridis NIES-102,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis viridis,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa,FALSE,not type material,NA,99.89,0.51,42.3888916,5874197,NA,NA,NA,NA,NA,NA,Complete Genome,5755,GCA_003945305.1,ASM394530v1,"Japan, Ibaraki",Lake Kasumigaura,lake water,NA,36.0428 N 140.3732 E,25-Mar,temperate,3,1,1,1,0,5,1,7,1,10,5,1,2,1,1,1,0,3,1,1,5,2,10,2,1,2,2,1,10,9,1,1,5
Moorena_producens_JHB,_001854205.1_,GCF,1854205,Moorena producens JHB,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Oscillatoriaceae;g__Moorena;s__Moorena producens,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__Moorena;s__Moorena producens,FALSE,not type material,full,99,0.93,43.6662148,9384763,261,Jamaica: Hector s Bay,10/26/16,shallow tropical waters; normally from coral reef substrate,258,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,6,1,6,1,10,5,1,2,1,1,1,1,4,0,2,3,2,4,2,1,5,6,1,4,3,1,1,4
Moorena_producens_PAL-8-15-08-1,_001767235.1_,GCF,1767235,Moorena producens PAL-8-15-08-1,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Oscillatoriaceae;g__Moorena;s__Moorena producens,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__Moorena;s__Moorena producens_A,TRUE,not type material,full,99.26,1.37,43.5173242,9708656,2,Pacific Ocean: Palmyra Atoll,10/18/16,shallow tropical waters; normally from coral reef substrate,0,0,Complete Genome,7581,GCA_001767235.1,ASM176723v1,Pacific Ocean Palmyra Atoll,Palmyra Atoll,"shallow tropical waters, normally from coral reef substrate",NA,NA,NA,temperate,2,1,1,1,0,6,1,6,1,10,6,1,2,1,1,1,1,4,1,2,3,2,9,2,1,4,4,1,9,9,1,1,5
Nodularia_spumigena_CENA596,_001623485.1_,GCF,1623485,Nodularia spumigena CENA596,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Nodularia;s__Nodularia spumigena,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia spumigena,FALSE,not type material,full,99.93,0.33,41.1967949,5189679,291,Brazil: Praia do Cassino; Rio Grande; Rio Grande do Sul,4/19/16,shrimp pond,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,0,7,1,9,1,11,5,1,2,1,1,1,0,4,2,2,7,2,8,2,1,6,6,1,6,2,1,1,9
Nodularia_spumigena_UHCC_0039,_003054475.1_,GCF,3054475,Nodularia spumigena UHCC 0039,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Nodularia;s__Nodularia spumigena,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia spumigena,FALSE,not type material,NA,99.78,0,41.232968,5386612,NA,NA,NA,NA,NA,NA,Complete Genome,4684,GCA_003054475.1,ASM305447v1,finland,Gulf of Finland,marine,NA,NA,NA,cold-freezing,2,1,2,1,0,10,1,9,1,13,5,1,2,1,1,1,0,4,2,2,7,2,6,2,1,6,6,1,6,6,1,1,8
Nostoc_azollae_0708,_000196515.1_,GCF,196515,Nostoc azollae' 0708,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Trichormus;s__Trichormus azollae,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus_B;s__Trichormus_B azollae,TRUE,not type material,NA,98.89,0,38.3736668,5486145,NA,NA,NA,NA,NA,NA,Complete Genome,6570,GCA_000196515.1,ASM19651v1,NA,"freshwater, water fern Azolla commonly known as duckweed","free living, mesophile, freshwater",NA,NA,NA,temperate,2,1,1,1,0,8,1,7,1,9,5,1,2,1,1,1,0,4,0,2,3,3,6,3,1,2,2,1,6,5,1,1,7
Nostoc_calcicola_FACHB-389,_001904715.1_,GCF,1904715,Nostoc calcicola FACHB-389,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Nostoc;s__Nostoc calcicola,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc calcicola,FALSE,not type material,full,99.22,1.11,41.4785255,9049214,354,Netherlands: Utrecht,12/14/16,soil,34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,0,8,1,10,2,15,5,1,2,1,1,1,0,4,0,0,9,2,9,2,1,6,6,1,9,8,1,1,14
Nostoc_edaphicum_CCNP1411,_014023275.1_,GCF,14023275,Nostoc edaphicum CCNP1411,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Nostoc;s__Nostoc edaphicum,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc edaphicum_A,TRUE,not type material,NA,99.7,1.33,41.5905192,8316316,NA,NA,NA,NA,NA,NA,Complete Genome,7070,GCA_014023275.1,ASM1402327v1,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,9,1,10,1,13,6,1,2,1,1,1,0,4,0,1,9,2,10,2,1,6,6,1,10,10,1,1,11
Nostoc_flagelliforme_CCNUN1,_002813575.1_,GCF,2813575,Nostoc flagelliforme CCNUN1,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Nostoc;s__Nostoc flagelliforme,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc flagelliforme_A,TRUE,not type material,NA,100,3.07,41.8697922,10231233,NA,NA,NA,NA,NA,NA,Complete Genome,9736,GCA_002813575.1,ASM281357v1,China Sunitezuoqi,desert soil,desert soil,NA,NA,NA,cold-freezing,2,1,2,0,1,7,1,10,1,24,6,1,2,1,3,1,0,4,0,1,11,3,8,3,1,2,2,1,8,8,1,1,11
Nostoc_sp_ATCC_53789,_009873495.1_,GCF,9873495,Nostoc sp. ATCC 53789,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Nostoc;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc muscorum,FALSE,not type material,NA,99.56,0.44,41.4115647,8653730,NA,NA,NA,NA,NA,NA,Complete Genome,7309,GCA_009873495.1,ASM987349v1,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,0,8,1,11,2,16,5,1,2,1,3,1,0,5,1,1,7,2,10,2,1,2,2,1,10,10,1,1,11
